sport_id,date_key,date,sport,event_name,stadium
673,20220904,04-09-2022,Women's Volleyball,vs High Point,"Madison, Wis. UW Field House BUY TICKETS"
674,20220909,09-09-2022,Women's Volleyball,at #14 Kentucky,"Lexington, KY"
675,20221211,11-12-2022,Men's Wrestling,vs Drexel (Div. I),"Madison, Wis. UW Field House"
676,20221211,11-12-2022,Men's Wrestling,vs Parkside vs. McKendree (Div. II),"Madison, Wis. UW Field House"
677,20221211,11-12-2022,Men's Wrestling,vs La Crosse vs. Cornell (Iowa) (Div. III),"Madison, Wis. UW Field House"
678,20221229,29-12-2022,Men's Wrestling,Soldier Salute,"Coralville, Iowa"
679,20221229,29-12-2022,Men's Wrestling,Ken Kraft Midlands Championships,"Hoffman Estates, Ill."
680,20221203,03-12-2022,Men's Wrestling,Jim Koch Open,"Kenosha, Wis."
681,20221204,04-12-2022,Men's Wrestling,vs #12 Princeton,"Newark, N.J."
682,20221204,04-12-2022,Men's Wrestling,vs Penn,"Newark, N.J."
683,20221119,19-11-2022,Men's Wrestling,at #7 Cornell,"Ithaca, N.Y."
684,20221122,22-11-2022,Men's Wrestling,2022 NWCA All-Star Classic,"Austin, Texas"
685,20221126,26-11-2022,Men's Wrestling,Iowa State Harold Nichols Cyclone Open,"Ames, Iowa"
686,20221105,05-11-2022,Men's Wrestling,vs Buffalo,"Jacksonville, Fla."
687,20221105,05-11-2022,Men's Wrestling,vs #14 Iowa State,"Jacksonville, Fla."
688,20221105,05-11-2022,Men's Wrestling,vs Chattanooga,"Jacksonville, Fla."
689,20221105,05-11-2022,Men's Wrestling,Michigan State Open,"East Lansing, Mich."
690,20231210,10-12-2023,Women's Basketball,vs #4 Iowa,"Kohl Center, Madison, Wis."
691,20231213,13-12-2023,Women's Basketball,at St. Thomas,"St. Paul, MN"
692,20231214,14-12-2023,Men's Basketball,vs Jacksonville State,"Madison, WI Kohl Center"
693,20231202,02-12-2023,Men's Basketball,vs #3 Marquette,"Madison, WI Kohl Center 'WHITE OUT' GAME"
694,20231221,21-12-2023,Women's Basketball,vs Eastern Illinois,"Kohl Center, Madison, Wis. Book It with Bucky"
695,20231222,22-12-2023,Men's Basketball,vs Chicago State,"Madison, WI Kohl Center"
696,20231203,03-12-2023,Women's Basketball,vs Butler,"Kohl Center, Madison, Wis."
697,20231230,30-12-2023,Women's Basketball,at Purdue University,"West Lafayette, IN"
698,20231205,05-12-2023,Men's Basketball,at Michigan State,"East Lansing, MI"
699,20231209,09-12-2023,Men's Basketball,at #1 Arizona,"Tucson, AZ"
700,20231110,10-11-2023,Men's Basketball,vs #9 Tennessee,"Madison, WI Kohl Center"
701,20231114,14-11-2023,Men's Basketball,at Providence,"Providence, RI"
702,20231114,14-11-2023,Women's Basketball,vs South Dakota State,"Kohl Center, Madison, Wis. Stuff the Kohl Center"
703,20231117,17-11-2023,Men's Basketball,vs Robert Morris,"Madison, WI Kohl Center"
704,20231119,19-11-2023,Women's Basketball,at Kansas State,"Manhattan, KS"
705,20231120,20-11-2023,Men's Basketball,#24 Virginia,"Fort Myers, FL Fort Myers Tip-Off"
706,20231122,22-11-2023,Men's Basketball,vs SMU,"Fort Myers, FL Fort Myers Tip-Off"
707,20231124,24-11-2023,Women's Basketball,Arkansas,"Suncoast Credit Union Arena, Fort Myers, Fla."
708,20231125,25-11-2023,Women's Basketball,Boston College,"Suncoast Credit Union Arena, Fort Myers, Fla."
709,20231127,27-11-2023,Men's Basketball,vs Western Illinois,"Madison, WI Kohl Center"
710,20231129,29-11-2023,Women's Basketball,vs Northern Illinois,"Kohl Center, Madison, Wis."
711,20231106,06-11-2023,Men's Basketball,vs Arkansas State,"Madison, WI Kohl Center"
712,20231107,07-11-2023,Women's Basketball,vs Milwaukee,"Kohl Center, Madison, Wis."
713,20231109,09-11-2023,Women's Basketball,vs Western Illinois,"Kohl Center, Madison, Wis."
714,20231029,29-10-2023,Women's Basketball,vs UW-Whitewater,"Kohl Center, Madison, Wis."
715,20231110,10-11-2023,Women's Cross Country,NCAA Great Lakes Regional,"Madison, WI Zimmer Championship Course"
716,20231110,10-11-2023,Men's Cross Country,NCAA Great Lakes Regional,"Madison, WI Zimmer Championship Course"
717,20231118,18-11-2023,Men's Cross Country,at NCAA Championships,"Charlottesville, VA"
718,20231118,18-11-2023,Women's Cross Country,at NCAA Championships,"Charlottesville, VA"
719,20231013,13-10-2023,Men's Cross Country,Nuttycombe Wisconsin Invitational Presented by Under Armour,"Madison, WI Zimmer Championship Course"
720,20231013,13-10-2023,Women's Cross Country,Nuttycombe Wisconsin Invitational Presented by Under Armour,"Madison, WI Zimmer Championship Course"
721,20231027,27-10-2023,Women's Cross Country,2023 Big Ten Cross Country Championships,"Madison, WI Zimmer Championship Course"
722,20231027,27-10-2023,Men's Cross Country,2023 Big Ten Cross Country Championships,"Madison, WI Zimmer Championship Course"
723,20230929,29-09-2023,Men's Cross Country,Sean Earl Lakefront Invitational,Chicago
724,20230929,29-09-2023,Women's Cross Country,at Sean Earl Lakefront Invitational,"Chicago, IL"
725,20230909,09-09-2023,Men's Cross Country,Badger Classic,"Madison, WI Zimmer Championship Course"
726,20230909,09-09-2023,Women's Cross Country,Badger Classic,"Madison, WI Zimmer Championship Course"
727,20230101,01-01-2023,Men's Football,vs #13 LSU,"Tampa, FL"
728,20231111,11-11-2023,Men's Football,vs Northwestern,"Madison, WI Camp Randall Stadium"
729,20231118,18-11-2023,Men's Football,vs Nebraska,"Madison, WI Camp Randall Stadium"
730,20231125,25-11-2023,Men's Football,at Minnesota,"Minneapolis, MN"
731,20231104,04-11-2023,Men's Football,at Indiana,"Bloomington, IN"
732,20231014,14-10-2023,Men's Football,vs Iowa,"Madison, WI Camp Randall Stadium STRIPE-OUT"
733,20231021,21-10-2023,Men's Football,at Illinois,"Urbana-Champaign, IL"
734,20231028,28-10-2023,Men's Football,vs #3 Ohio State,"Madison, WI Camp Randall Stadium"
735,20231007,07-10-2023,Men's Football,vs Rutgers,"Madison, WI Camp Randall Stadium HOMECOMING"
736,20230916,16-09-2023,Men's Football,vs Georgia Southern,"Madison, WI Camp Randall Stadium"
737,20230902,02-09-2023,Men's Football,vs Buffalo,"Madison, WI Camp Randall Stadium"
738,20230922,22-09-2023,Men's Football,at Purdue,"West Lafayette, IN"
739,20230909,09-09-2023,Men's Football,at RV Washington State,"Pullman, WA"
740,20231001,01-10-2023,Men's Golf,Badger Invitational,"Madison, Wis."
741,20231015,15-10-2023,Men's Golf,Fallen Oak Collegiate Invitational,"Saucier, Miss."
742,20231015,15-10-2023,Women's Golf,Mercedes-Benz Collegiate Championship,"Knoxville, Tenn."
743,20231006,06-10-2023,Women's Golf,Ron Moore Intercollegiate,"Denver, Colo."
744,20230911,11-09-2023,Women's Golf,Cougar Classic,"Charleston, S.C."
745,20230917,17-09-2023,Men's Golf,Frank Wrigglesworth Invitational (Individuals),"Altoona, Wis."
746,20230917,17-09-2023,Women's Golf,Badger Invitational,"Madison, Wis."
747,20230925,25-09-2023,Men's Golf,Windon Memorial Classic,"Northfield, Ill."
748,20230903,03-09-2023,Men's Golf,Marquette Intercollegiate,"Erin, Wis."
749,20230908,08-09-2023,Men's Golf,Visit Knoxville Collegiate,"Louden, Tenn."
750,20231201,01-12-2023,Men's Ice Hockey,vs Ohio State,"Madison, WI Kohl Center"
751,20231202,02-12-2023,Women's Ice Hockey,vs Minnesota Duluth,"Madison, WI La Bahn Arena"
752,20231202,02-12-2023,Men's Ice Hockey,vs Ohio State,"Madison, WI Kohl Center"
753,20231228,28-12-2023,Men's Ice Hockey,vs Air Force,Milwaukee Fiserv Forum
754,20231229,29-12-2023,Men's Ice Hockey,vs Northeastern,Milwaukee Fiserv Forum
755,20231203,03-12-2023,Women's Ice Hockey,vs Minnesota Duluth,"Madison, WI La Bahn Arena"
756,20231208,08-12-2023,Women's Ice Hockey,at Minnesota,"Minneapolis, MN"
757,20231208,08-12-2023,Men's Ice Hockey,vs #17 Penn State,"Madison, WI Kohl Center"
758,20231209,09-12-2023,Women's Ice Hockey,at Minnesota,"Minneapolis, MN"
759,20231209,09-12-2023,Men's Ice Hockey,vs #17 Penn State UW Teddy Toss presented by BMO,"Madison, WI Kohl Center"
760,20231117,17-11-2023,Women's Ice Hockey,at Ohio State,"Columbus, OH"
761,20231117,17-11-2023,Men's Ice Hockey,at #11 Michigan State,"East Lansing, MI"
762,20231118,18-11-2023,Women's Ice Hockey,at Ohio State,"Columbus, OH"
763,20231118,18-11-2023,Men's Ice Hockey,at #11 Michigan State,"East Lansing, MI"
764,20231124,24-11-2023,Men's Ice Hockey,vs Alaska Anchorage,"Madison, WI Kohl Center"
765,20231125,25-11-2023,Men's Ice Hockey,vs Alaska Anchorage,"Madison, WI Kohl Center"
766,20231103,03-11-2023,Women's Ice Hockey,at St. Cloud State,"St. Cloud, MN"
767,20231103,03-11-2023,Men's Ice Hockey,vs #4/3 Michigan,"Madison, WI Kohl Center"
768,20231104,04-11-2023,Women's Ice Hockey,at St. Cloud State,"St. Cloud, MN"
769,20231104,04-11-2023,Men's Ice Hockey,vs #4/3 Michigan,"Madison, WI Kohl Center"
770,20231012,12-10-2023,Women's Ice Hockey,vs Minnesota State,"Madison, WI La Bahn Arena"
771,20231013,13-10-2023,Women's Ice Hockey,vs Minnesota State,"Madison, WI La Bahn Arena"
772,20231013,13-10-2023,Men's Ice Hockey,at Bemidji State,"Bemidji, MN"
773,20231014,14-10-2023,Men's Ice Hockey,at #7 North Dakota,"Grand Forks, ND"
774,20231020,20-10-2023,Men's Ice Hockey,at #17 Michigan Tech,"Houghton, MI"
775,20231020,20-10-2023,Women's Ice Hockey,vs Bemidji State,"Madison, WI La Bahn Arena"
776,20231021,21-10-2023,Women's Ice Hockey,vs Bemidji State,"Madison, WI La Bahn Arena"
777,20231021,21-10-2023,Men's Ice Hockey,at #17 Michigan Tech,"Houghton, MI"
778,20231026,26-10-2023,Men's Ice Hockey,at #1 Minnesota,"Minneapolis, MN"
779,20231027,27-10-2023,Women's Ice Hockey,at St. Thomas,"St. Paul, MN"
780,20231027,27-10-2023,Men's Ice Hockey,at #1 Minnesota,"Minneapolis, MN"
781,20231028,28-10-2023,Women's Ice Hockey,at St. Thomas,"St. Paul, MN"
782,20231005,05-10-2023,Women's Ice Hockey,vs Boston College,"Madison, WI La Bahn Arena"
783,20231006,06-10-2023,Women's Ice Hockey,vs Boston College,"Madison, WI La Bahn Arena"
784,20231007,07-10-2023,Men's Ice Hockey,vs Augustana,"Madison, WI Kohl Center"
785,20231008,08-10-2023,Men's Ice Hockey,vs Augustana,"Madison, WI Kohl Center"
786,20230928,28-09-2023,Women's Ice Hockey,at Lindenwood,"Maryland Heights, MO"
787,20230929,29-09-2023,Women's Ice Hockey,at Lindenwood,"Maryland Heights, MO"
788,20231104,04-11-2023,Women's Rowing,vs Minnesota/Eastern Michigan Scrimmage,"Madison, WI Lake Mendota"
789,20231104,04-11-2023,Women's Rowing,vs Minnesota/Eastern Michigan Scrimmage,"Madison, WI Lake Mendota"
790,20231105,05-11-2023,Men's Rowing,Princeton Chase,"Princeton, N.J."
791,20231105,05-11-2023,Men's Rowing,Bald Eagle Invite,"Indianapolis, IN"
792,20231001,01-10-2023,Women's Rowing,Head of the Oklahoma,"Oklahoma City, OK"
793,20231001,01-10-2023,Women's Rowing,Head of the Oklahoma,"Oklahoma City, OK"
794,20231014,14-10-2023,Women's Rowing,at Minnesota Scrimmage,"Minneapolis, MN"
795,20231014,14-10-2023,Women's Rowing,at Minnesota Scrimmage,"Minneapolis, MN"
796,20231021,21-10-2023,Women's Rowing,Head of the Charles,"Boston, MA"
797,20231021,21-10-2023,Women's Rowing,Head of the Charles,"Boston, MA"
798,20231022,22-10-2023,Men's Rowing,Head of the Charles,"Boston, MA"
799,20231022,22-10-2023,Women's Rowing,Head of the Charles,"Boston, MA"
800,20231022,22-10-2023,Women's Rowing,Head of the Charles,"Boston, MA"
801,20231022,22-10-2023,Men's Rowing,Iowa Chase,"Iowa City, IA"
802,20230930,30-09-2023,Women's Rowing,Head of the Oklahoma,"Oklahoma City, OK"
803,20230930,30-09-2023,Women's Rowing,Head of the Oklahoma,"Oklahoma City, OK"
804,20230413,13-04-2023,Women's Soccer,vs Milwaukee,"Madison, WI McClimon Track/Soccer Complex"
805,20230407,07-04-2023,Women's Soccer,at Northern Illinois University,"DeKalb, IL"
806,20230811,11-08-2023,Women's Soccer,vs Green Bay Scrimmage/Parking available in Lots 36 and 67,"Madison, WI McClimon Track/Soccer Complex"
807,20230812,12-08-2023,Men's Soccer,vs Green Bay (EXH),"Madison, WI McClimon Track/Soccer Complex"
808,20230815,15-08-2023,Men's Soccer,vs St. Thomas (EXH),"Madison, WI McClimon Track/Soccer Complex"
809,20230817,17-08-2023,Women's Soccer,vs Kansas Back to School Supply Drive,"Madison, WI McClimon Track/Soccer Complex"
810,20230819,19-08-2023,Men's Soccer,vs Loyola Chicago (EXH),"Madison, WI McClimon Track/Soccer Complex"
811,20230820,20-08-2023,Women's Soccer,vs UIC Kohls Kids Day,"Madison, WI McClimon Track/Soccer Complex"
812,20230824,24-08-2023,Women's Soccer,at #3 North Carolina,"Chapel Hill, NC"
813,20230824,24-08-2023,Men's Soccer,vs Purdue Fort Wayne,"Madison, WI McClimon Track/Soccer Complex"
814,20230827,27-08-2023,Men's Soccer,vs Drake,"Madison, WI McClimon Track/Soccer Complex"
815,20230827,27-08-2023,Women's Soccer,at #4 Duke,"Durham, NC"
816,20230831,31-08-2023,Women's Soccer,vs LSU,"Madison, WI McClimon Track/Soccer Complex"
817,20230804,04-08-2023,Women's Soccer,vs DePaul Scrimmage,"Madison, WI McClimon Track/Soccer Complex"
818,20230310,10-03-2023,Women's Soccer,at Michigan State University,"East Lansing, MI"
819,20230317,17-03-2023,Women's Soccer,Loyola University Chicago,"Rockford, Ill."
820,20231110,10-11-2023,Women's Soccer,vs Milwaukee First Round,"Madison, WI McClimon Track/Soccer Complex"
821,20231117,17-11-2023,Women's Soccer,#5 University of Texas Second Round,"Tallahassee, FL Seminole Soccer Fields"
822,20231102,02-11-2023,Women's Soccer,#19 University of Nebraska Big Ten Semifinal,"Columbus, Ohio Lower.com Field"
823,20231103,03-11-2023,Men's Soccer,at Indiana,"Bloomington, IN"
824,20231105,05-11-2023,Women's Soccer,University of Iowa Big Ten Championship,"Columbus, Ohio Lower.com Field"
825,20231001,01-10-2023,Women's Soccer,vs Purdue,"Madison, WI McClimon Track/Soccer Complex"
826,20231001,01-10-2023,Men's Soccer,at Michigan,"Ann Arbor, MI"
827,20231012,12-10-2023,Women's Soccer,at Illinois,"Urbana-Champaign, IL"
828,20231013,13-10-2023,Men's Soccer,at Rutgers,"Piscataway, NJ"
829,20231015,15-10-2023,Women's Soccer,vs Ohio State,"Madison, WI McClimon Track/Soccer Complex"
830,20231019,19-10-2023,Women's Soccer,at Maryland,"College Park, MD"
831,20231020,20-10-2023,Men's Soccer,at Ohio State,"Columbus, OH"
832,20231022,22-10-2023,Women's Soccer,at #4 Penn State,"University Park, PA"
833,20231024,24-10-2023,Men's Soccer,vs Milwaukee BREAST CANCER AWARENESS,"Madison, WI McClimon Track/Soccer Complex"
834,20231029,29-10-2023,Men's Soccer,vs Penn State SENIOR DAY,"Madison, WI McClimon Track/Soccer Complex"
835,20231029,29-10-2023,Women's Soccer,vs Rutgers University Big Ten Quarterfinal,"Madison, WI McClimon Track/Soccer Complex"
836,20231005,05-10-2023,Women's Soccer,vs Northwestern Alumni Day,"Madison, WI McClimon Track/Soccer Complex"
837,20231006,06-10-2023,Men's Soccer,vs #23 Michigan State GREEK NIGHT/ALUMNI NIGHT,"Madison, WI McClimon Track/Soccer Complex"
838,20231009,09-10-2023,Men's Soccer,vs Bradley INTERNATIONAL STUDENTS NIGHT,"Madison, WI McClimon Track/Soccer Complex"
839,20230901,01-09-2023,Men's Soccer,vs #2 Kentucky MILITARY APPRECIATION,"Madison, WI McClimon Track/Soccer Complex"
840,20230910,10-09-2023,Women's Soccer,vs Marquette,"Madison, WI McClimon Track/Soccer Complex"
841,20230911,11-09-2023,Men's Soccer,at Marquette,"Milwaukee, WI"
842,20230915,15-09-2023,Men's Soccer,at #23 Indiana,"Bloomington, IN"
843,20230915,15-09-2023,Women's Soccer,at Nebraska,"Lincoln, NE"
844,20230919,19-09-2023,Men's Soccer,vs #13 Northwestern,"Madison, WI McClimon Track/Soccer Complex"
845,20230921,21-09-2023,Women's Soccer,vs Iowa,"Madison, WI McClimon Track/Soccer Complex"
846,20230924,24-09-2023,Men's Soccer,vs Maryland POWER OF US GAME,"Madison, WI McClimon Track/Soccer Complex"
847,20230924,24-09-2023,Women's Soccer,vs Michigan State,"Madison, WI McClimon Track/Soccer Complex"
848,20230928,28-09-2023,Women's Soccer,at Minnesota,"Minneapolis, MN"
849,20230903,03-09-2023,Women's Soccer,at Western Michigan,"Kalamazoo, MI"
850,20230904,04-09-2023,Men's Soccer,at UIC,"Chicago, IL"
851,20230907,07-09-2023,Women's Soccer,at Loyola,"Chicago, IL"
852,20230908,08-09-2023,Men's Soccer,vs Mercer MARCH TO MCCLIMON/COLONY NIGHT,"Madison, WI McClimon Track/Soccer Complex"
853,20230411,11-04-2023,Women's Softball,vs DePaul University,"Madison, WI Goodman Diamond"
854,20230412,12-04-2023,Women's Softball,vs University of St. Thomas (DH),"Madison, WI Goodman Diamond"
855,20230412,12-04-2023,Women's Softball,vs University of St. Thomas (DH),"Madison, WI Goodman Diamond"
856,20230414,14-04-2023,Women's Softball,vs Northwestern University,"Madison, WI Goodman Diamond"
857,20230415,15-04-2023,Women's Softball,vs Northwestern University,"Madison, WI Goodman Diamond"
858,20230415,15-04-2023,Women's Softball,vs Northwestern University,"Madison, WI Goodman Diamond"
859,20230402,02-04-2023,Women's Softball,vs University of Illinois (DH),"Madison, WI Goodman Diamond"
860,20230402,02-04-2023,Women's Softball,vs University of Illinois (DH),"Madison, WI Goodman Diamond"
861,20230421,21-04-2023,Women's Softball,at University of Nebraska,"Lincoln, NE"
862,20230422,22-04-2023,Women's Softball,at University of Nebraska,"Lincoln, NE"
863,20230423,23-04-2023,Women's Softball,at University of Nebraska,"Lincoln, NE"
864,20230425,25-04-2023,Women's Softball,vs University of Minnesota (DH),"Madison, WI Goodman Diamond"
865,20230425,25-04-2023,Women's Softball,vs University of Minnesota (DH),"Madison, WI Goodman Diamond"
866,20230429,29-04-2023,Women's Softball,at University of Maryland,"College Park, MD"
867,20230429,29-04-2023,Women's Softball,at University of Maryland,"College Park, MD"
868,20230430,30-04-2023,Women's Softball,at University of Maryland,"College Park, MD"
869,20230407,07-04-2023,Women's Softball,at Purdue University,"West Lafayette, IN"
870,20230408,08-04-2023,Women's Softball,at Purdue University,"West Lafayette, IN"
871,20230409,09-04-2023,Women's Softball,at Purdue University,"West Lafayette, IN"
872,20230210,10-02-2023,Women's Softball,vs #24 University of Oregon,Puerto Vallarta
873,20230211,11-02-2023,Women's Softball,vs #23 University of Mississippi,Puerto Vallarta
874,20230217,17-02-2023,Women's Softball,at Georgia Tech,"Atlanta, GA"
875,20230218,18-02-2023,Women's Softball,at Georgia Tech,"Atlanta, GA."
876,20230218,18-02-2023,Women's Softball,vs University of Louisville,"Atlanta, GA"
877,20230219,19-02-2023,Women's Softball,vs University of Louisville,"Atlanta, GA"
878,20230223,23-02-2023,Women's Softball,at Florida Atlantic University,"Boca Raton, FL"
879,20230224,24-02-2023,Women's Softball,vs University of North Carolina,"Boca Raton, FL"
880,20230224,24-02-2023,Women's Softball,vs Boston College,"Boca Raton, FL"
881,20230225,25-02-2023,Women's Softball,vs Villanova University,"Boca Raton, FL"
882,20230225,25-02-2023,Women's Softball,vs University of North Carolina,"Boca Raton, FL"
883,20230209,09-02-2023,Women's Softball,vs California Baptist University,Puerto Vallarta
884,20230209,09-02-2023,Women's Softball,vs Brigham Young University,Puerto Vallarta
885,20230310,10-03-2023,Women's Softball,vs Texas State University,"Austin, TX"
886,20230310,10-03-2023,Women's Softball,at #9/#10 University of Texas,"Austin, TX"
887,20230311,11-03-2023,Women's Softball,vs Texas State University,"Austin, TX"
888,20230311,11-03-2023,Women's Softball,at #9/#10 University of Texas,"Austin, TX"
889,20230312,12-03-2023,Women's Softball,vs #13/#9 University of Alabama,"Austin, TX"
890,20230324,24-03-2023,Women's Softball,at Michigan State University (DH),"East Lansing, MI"
891,20230324,24-03-2023,Women's Softball,at Michigan State University (DH),"East Lansing, MI"
892,20230326,26-03-2023,Women's Softball,at Michigan State University,"East Lansing, MI"
893,20230328,28-03-2023,Women's Softball,vs Green Bay (DH),"Madison, WI Goodman Diamond"
894,20230328,28-03-2023,Women's Softball,vs Green Bay (DH),"Madison, WI Goodman Diamond"
895,20230331,31-03-2023,Women's Softball,vs University of Illinois,"Madison, WI Goodman Diamond"
896,20230304,04-03-2023,Women's Softball,vs Purdue Fort Wayne,"Bloomington, IN"
897,20230304,04-03-2023,Women's Softball,vs Purdue Fort Wayne,"Bloomington, IN"
898,20230305,05-03-2023,Women's Softball,vs IUPUI,"Bloomington, IN"
899,20230305,05-03-2023,Women's Softball,at Indiana University,"Bloomington, IN"
900,20230510,10-05-2023,Women's Softball,vs University of Illinois,
901,20230505,05-05-2023,Women's Softball,vs University of Iowa,"Madison, WI Goodman Diamond"
902,20230506,06-05-2023,Women's Softball,vs University of Iowa,"Madison, WI Goodman Diamond"
903,20230507,07-05-2023,Women's Softball,vs University of Iowa,"Madison, WI Goodman Diamond"
904,20231013,13-10-2023,Women's Softball,vs North Iowa Area Community College,Goodman Diamond
905,20231008,08-10-2023,Women's Softball,vs University of Minnesota Duluth (DH),Goodman Diamond
906,20230917,17-09-2023,Women's Softball,vs Lakeland Community College,Goodman Diamond
907,20230922,22-09-2023,Women's Softball,vs Des Moines Area Community College,Goodman Diamond
908,20230923,23-09-2023,Women's Softball,vs Loyola University Chicago (DH),Goodman Diamond
909,20230929,29-09-2023,Women's Softball,vs Bryant & Stratton College,Goodman Diamond
910,20231115,15-11-2023,Men's Swimming And Diving,Texas Invitational Swimmers,"Austin, Texas"
911,20231115,15-11-2023,Women's Swimming And Diving,Texas Invitational Swimmers,"Austin, Texas"
912,20231115,15-11-2023,Men's Swimming And Diving,Georgia Invitational Divers,"Athens, Ga."
913,20231115,15-11-2023,Women's Swimming And Diving,Georgia Invitational Divers,"Athens, Ga."
914,20231129,29-11-2023,Men's Swimming And Diving,U.S. Open,"Greensboro, N.C."
915,20231129,29-11-2023,Women's Swimming And Diving,U.S. Open,"Greensboro, N.C."
916,20231103,03-11-2023,Men's Swimming And Diving,at Minnesota,"Minneapolis, MN"
917,20231103,03-11-2023,Women's Swimming And Diving,at Minnesota,"Minneapolis, MN"
918,20231020,20-10-2023,Men's Swimming And Diving,vs Michigan,"Soderholm Family Aquatic Center, Madison, Wis."
919,20231020,20-10-2023,Women's Swimming And Diving,vs Arizona,"Soderholm Family Aquatic Center, Madison, Wis."
920,20231020,20-10-2023,Women's Swimming And Diving,vs Michigan,"Soderholm Family Aquatic Center, Madison, Wis."
921,20231020,20-10-2023,Men's Swimming And Diving,vs Arizona,"Soderholm Family Aquatic Center, Madison, Wis."
922,20231021,21-10-2023,Men's Swimming And Diving,vs Arizona,"Soderholm Family Aquatic Center, Madison, Wis."
923,20231021,21-10-2023,Men's Swimming And Diving,vs Michigan,"Soderholm Family Aquatic Center, Madison, Wis."
924,20231021,21-10-2023,Women's Swimming And Diving,vs Arizona,"Soderholm Family Aquatic Center, Madison, Wis."
925,20231021,21-10-2023,Women's Swimming And Diving,vs Michigan,"Soderholm Family Aquatic Center, Madison, Wis."
926,20231006,06-10-2023,Men's Swimming And Diving,vs Notre Dame,"Soderholm Family Aquatic Center, Madison, Wis."
927,20231006,06-10-2023,Women's Swimming And Diving,vs Notre Dame,"Soderholm Family Aquatic Center, Madison, Wis."
928,20231103,03-11-2023,Men's Tennis,vs Big Ten Individual Championships,"Madison, WI Nielsen Tennis Stadium"
929,20231103,03-11-2023,Women's Tennis,at Auburn Invitational,"Auburn, AL"
930,20231012,12-10-2023,Women's Tennis,at ITA Midwest Regionals,"East Lansing, MI"
931,20231016,16-10-2023,Women's Tennis,at ITF 15K,"Jackson, TN"
932,20231019,19-10-2023,Men's Tennis,ITA Midwest Regional Championships,"Ann Arbor, MI"
933,20231002,02-10-2023,Men's Tennis,ITA All-American Championships,"Tulsa, OK"
934,20231027,27-10-2023,Women's Tennis,at Roberta Allison Invitational,"Tuscaloosa, AL"
935,20231030,30-10-2023,Women's Tennis,at ITF 25K,"Edmonton, Alta."
936,20231006,06-10-2023,Women's Tennis,at SMU Invitational,"Dallas, TX"
937,20231009,09-10-2023,Women's Tennis,at ITF 25K,Sacramento. CA
938,20230915,15-09-2023,Men's Tennis,at SEC / Big Ten Challenge,"Tuscaloosa, AL"
939,20230915,15-09-2023,Women's Tennis,at Kitty Harrison Invitational,"Chapel Hill, NC"
940,20230922,22-09-2023,Men's Tennis,Milwaukee Tennis Classic,"Milwaukee, Wis."
941,20230922,22-09-2023,Women's Tennis,at Charlotte Invite,"Charlotte, NC"
942,20230922,22-09-2023,Women's Tennis,at Milwaukee Tennis Classic,"Milwaukee, WI"
943,20230930,30-09-2023,Women's Tennis,Intercollegiate Tennis Association,"Cary, NC"
944,20231202,02-12-2023,Women's Track And Field,at BU Sharon Colyer-Danvile Season Opener,"Boston, Mass."
945,20231209,09-12-2023,Women's Track And Field,at Jimmy Grant Invitational,"Iowa City, IA"
946,20230825,25-08-2023,Women's Volleyball,#15 Baylor,"Maturi Pavilion, Minneapolis, Minn."
947,20230826,26-08-2023,Women's Volleyball,TCU,"Maturi Pavilion, Minneapolis, Minn."
948,20230830,30-08-2023,Women's Volleyball,at #21 Arkansas,"Fayetteville, AR"
949,20230831,31-08-2023,Women's Volleyball,at #21 Arkansas,"Fayetteville, AR"
950,20231201,01-12-2023,Women's Volleyball,Miami,"UW Field House, Madison, Wis. UW Field House"
951,20231214,14-12-2023,Women's Volleyball,vs Texas,"Amalie Arena, Tampa, FL"
952,20231207,07-12-2023,Women's Volleyball,Penn State,"UW Field House, Madison, Wis."
953,20231209,09-12-2023,Women's Volleyball,Oregon,"UW Field House, Madison, Wis."
954,20231101,01-11-2023,Women's Volleyball,vs #19 Purdue,"UW Field House, Madison, Wis."
955,20231110,10-11-2023,Women's Volleyball,at Maryland,"College Park, MD"
956,20231111,11-11-2023,Women's Volleyball,at #15 Penn State,"University Park, PA"
957,20231117,17-11-2023,Women's Volleyball,at #16 Purdue,"West Lafayette, IN"
958,20231119,19-11-2023,Women's Volleyball,at Indiana,"Bloomington, IN"
959,20231124,24-11-2023,Women's Volleyball,vs #1 Nebraska,"UW Field House, Madison, Wis."
960,20231125,25-11-2023,Women's Volleyball,vs Iowa,"UW Field House, Madison, Wis."
961,20231130,30-11-2023,Women's Volleyball,Jackson State,"UW Field House, Madison, Wis."
962,20231104,04-11-2023,Women's Volleyball,vs Illinois,"UW Field House, Madison, Wis. Alumnae Match"
963,20231001,01-10-2023,Women's Volleyball,vs Michigan,"UW Field House, Madison, Wis. 2013 NCAA Final Four Team Recognition"
964,20231013,13-10-2023,Women's Volleyball,vs Rutgers,"UW Field House, Madison, Wis."
965,20231015,15-10-2023,Women's Volleyball,vs Maryland,"UW Field House, Madison, Wis."
966,20231018,18-10-2023,Women's Volleyball,vs Ohio State,"UW Field House, Madison, Wis."
967,20231021,21-10-2023,Women's Volleyball,at #2 Nebraska,"Lincoln, NE"
968,20231027,27-10-2023,Women's Volleyball,at Michigan State,"East Lansing, MI"
969,20231029,29-10-2023,Women's Volleyball,vs Minnesota,"UW Field House, Madison, Wis."
970,20231004,04-10-2023,Women's Volleyball,at Iowa,"Coralville, IA"
